run,run_dir,final_lattice_code,BC_deloc_code,nframes,final_crystal_shape,BC_spatial_distribution,other_notes,gr_messiness,weird_features,how_initialized,kT,EE,chain_num,linker
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.4_eps_-70_EE_7_chn_num_3_linker_10,"",mixture,medium_low,125,mixture of different crystals,"spatially dependent, neat crosses or hexes",double coord num 13,almost pristine peaks,BCC + FCC(?),BCC,1.4,7,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.6_eps_-70_EE_7_chn_num_3_linker_10,"",mixture,medium_low,133,mixture of different crystals,"spatially dependent, neat crosses or hexes",double coord num 12.66,almost pristine peaks,BCC + FCC(?),BCC,1.6,7,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.7_eps_-70_EE_4_chn_num_3_linker_7,"",mixture,NA,386,jammed mixture,,double coord num 8,almost pristine peaks but convoluted,mixture(?),BCC,0.7,4,3,7
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_4_chn_num_3_linker_7,"",no ID,medium_low,386,lattice no ID,neat,quadruple coord num 16,messy BCT peaks,deformed BCT (?),BCC,0.9,4,3,7
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.8_eps_-70_EE_8_chn_num_3_linker_10,"",fluid,NA,120,jammed,homogenous,double coord num 14.3,"two pristine peaks, liquid like afterwards",trying to form structure but failing,BCC,0.8,8,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_4_chn_num_3_linker_12,chain_len,no ID,NA,136,"lattice, no ID",4-point diamonds/offest squares,BCT??,almost pristine,none,BCC,1.3,4,3,12
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_4_chn_num_3_linker_7,chain_len,BCC,medium,136,BCC,"crosses, a little messy",none,very broad peaks,none,BCC,1.3,4,3,7
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_4_chn_num_3_linker_8,chain_len,BCT,medium,136,BCT,"kind of messy 4-point diamonds/offest squares, slanted BCT","starts messy, becomeslattice","almost pristine, peaks a little broad",none,BCC,1.3,4,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_4_chn_num_3_linker_12,chain_len,no ID,low,136,"lattice, no ID",localized in weird line things,BTC? box is tilted,almost pristine,none,BCC,1.5,4,3,12
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_4_chn_num_3_linker_7,chain_len,BCC,high,136,BCC,very messy crosses,second peak is hard to see,"broad peaks, overlapping",none,BCC,1.5,4,3,7
